Denumire,CUI,CAEN,Adresa,SF_AN,Active imobilizate,Active circulante,Stocuri,Creante,Casa si conturi la banci,Cheltuieli in avans,Datorii,Venituri in avans,Provizioane,Capitaluri,Capital subscris varsat,Patrimoniul regiei,Cifra de afaceri neta,Venituri totale,Cheltuieli totale,Profit brut,Pierdere bruta,Profit net,Pierdere neta,Numar mediu de salariati
SAVIKPET INVEST SRL,37123916,4711,"Municipiul Oradea, Str. MATEI CORVIN, Nr. 1, Județ Bihor",2018,25421,585,,,585,,4525,,,21481,200,,,68500,62149,6351,0,4296,0,0
SAVIKPET INVEST SRL,37123916,4711,"Municipiul Oradea, Str. MATEI CORVIN, Nr. 1, Județ Bihor",2019,46745,2042,,,2042,,5643,,,43144,200,,,85000,60788,24212,0,21662,0,0
SAVIKPET INVEST SRL,37123916,4711,"Municipiul Oradea, Str. MATEI CORVIN, Nr. 1, Județ Bihor",2017,1940,19114,,,19114,,3869,,,17185,200,,0,47615,29201,18414,0,16985,0,0
IREX.SERV.COM. SRL,56354,4711,"Municipiul Oradea, B-dul STEFAN CEL MARE, Nr. 170, Bloc AN 25, Etaj 4, Apartament 13, Județ Bihor",2017,,11502,8325,,3177,,87866,,,-76364,200,,99427,99427,103647,0,4220,0,5214,1
IREX.SERV.COM. SRL,56354,4711,"Municipiul Oradea, B-dul STEFAN CEL MARE, Nr. 170, Bloc AN 25, Etaj 4, Apartament 13, Județ Bihor",2018,,8702,6223,,2479,,91615,,,-82913,200,,86733,86733,92415,0,5682,0,6549,
IREX.SERV.COM. SRL,56354,4711,"Municipiul Oradea, B-dul STEFAN CEL MARE, Nr. 170, Bloc AN 25, Etaj 4, Apartament 13, Județ Bihor",2016,,5174,3441,,1733,,76324,,,-71150,200,,89959,89959,103207,0,13248,0,14154,2
IREX.SERV.COM. SRL,56354,4711,"Municipiul Oradea, B-dul STEFAN CEL MARE, Nr. 170, Bloc AN 25, Etaj 4, Apartament 13, Județ Bihor",2019,,10958,6646,,4312,,97911,,,-86953,200,,117526,118260,121124,0,2864,0,4040,1
AUTOROM SRL,4453845,4711,"Municipiul Oradea, Calea ADEVĂRULUI, Nr. 32/O, Județ Bihor",2016,192095,2794190,1894391,302907,596892,,2957705,,,28580,200,,9291799,9401797,9450835,0,49038,0,67398,32
AUTOROM SRL,4453845,4711,"Municipiul Oradea, Calea ADEVĂRULUI, Nr. 32/O, Județ Bihor",2018,140681,1882232,525851,844429,511952,,1883641,,,139272,200,,7780797,8446182,8273184,172998,0,137239,0,22
AUTOROM SRL,4453845,4711,"Municipiul Oradea, Calea ADEVĂRULUI, Nr. 32/O, Județ Bihor",2017,173717,2072793,1319114,330884,422795,,2245483,,,1027,200,,7048586,7059156,7034602,24554,0,17001,0,23
AUTOROM SRL,4453845,4711,"Municipiul Oradea, Calea ADEVĂRULUI, Nr. 32/O, Județ Bihor",2019,103985,2192589,517258,931276,744055,,2094600,,,201974,200,,8274697,9010630,8899760,110870,0,87836,0,20
EXCELL SRL,5203090,4711,"Municipiul Oradea, Calea ARADULUI, Nr. 39, Bloc A 2, Apartament 22, Județ Bihor",2018,4201,103810,98099,5473,238,125924,433384,,,-199449,45200,,899772,899772,957768,0,57996,0,59820,5
EXCELL SRL,5203090,4711,"Municipiul Oradea, Calea ARADULUI, Nr. 39, Bloc A 2, Apartament 22, Județ Bihor",2019,50,106217,103244,2357,616,133690,414161,,,-174204,45200,,596851,596851,571606,25245,0,25245,0,2
EXCELL SRL,5203090,4711,"Municipiul Oradea, Calea ARADULUI, Nr. 39, Bloc A 2, Apartament 22, Județ Bihor",2017,512,114679,100466,11328,2885,129797,384617,,,-139629,45200,,895516,895516,906089,0,10573,0,10628,4
EXCELL SRL,5203090,4711,"Municipiul Oradea, Calea ARADULUI, Nr. 39, Bloc A 2, Apartament 22, Județ Bihor",2016,,113121,93046,18281,1794,128695,415817,,,-174001,200,,863613,863614,862374,1240,0,1240,0,4
SIMCRIST SRL,14002990,4711,"Municipiul Oradea, P-ta CETATII, Nr. 28, Scara A, Etaj 7, Apartament 28, Județ Bihor",2017,637,17397,15470,20,1907,,3983,,,14051,200,,109247,109999,103325,6674,0,3781,0,2
SIMCRIST SRL,14002990,4711,"Municipiul Oradea, P-ta CETATII, Nr. 28, Scara A, Etaj 7, Apartament 28, Județ Bihor",2018,1024,23795,20050,3197,548,,10573,,,14246,200,,99362,99362,98184,1178,0,195,0,1
